YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1950,2.26,4.44,2.73,1.66,2.66,2.18,4.24,4.97,1.48,1.71,4.24,4.32,36.89
1951,3.95,3.05,5.62,2.44,4.93,2.97,3.67,2.53,0.70,3.77,6.49,4.28,44.40
1952,4.55,1.38,4.00,5.05,4.78,3.64,3.32,4.63,2.05,0.94,3.05,4.12,41.51
1953,4.90,2.37,8.76,5.20,4.35,1.82,3.86,2.10,1.10,4.30,2.02,4.42,45.20
1954,1.65,1.81,3.25,2.70,3.10,1.32,0.96,6.09,4.75,1.99,4.93,3.03,35.58
1955,0.77,3.01,3.71,1.97,2.64,2.52,0.51,10.86,2.67,6.87,4.12,0.25,39.90
1956,1.54,4.18,5.03,2.78,2.20,2.99,3.13,2.56,2.32,3.61,2.62,3.29,36.25
1957,1.70,2.43,1.99,4.51,3.67,1.85,1.47,2.87,3.01,3.27,4.46,5.26,36.49
1958,3.79,2.98,3.19,6.14,3.25,2.55,3.68,2.36,4.44,5.46,1.85,1.25,40.94
1959,2.34,1.69,3.77,1.91,1.33,4.20,4.28,4.45,1.11,4.83,4.22,4.64,38.77
1960,2.40,4.43,2.96,3.05,2.97,1.74,8.29,6.26,5.38,2.82,3.05,3.04,46.39
1961,1.88,3.96,4.23,5.08,3.60,2.86,4.92,3.13,1.70,2.21,2.71,3.04,39.32
1962,2.62,3.74,2.97,3.00,1.26,3.73,1.67,5.71,3.10,3.15,3.94,2.26,37.15
1963,1.93,2.55,3.61,1.27,2.16,2.72,2.19,3.21,3.95,0.14,8.24,2.31,34.28
1964,4.62,2.93,2.57,5.09,0.57,2.67,4.17,0.24,1.69,1.73,2.55,4.16,32.99
1965,3.09,3.66,2.49,2.90,1.58,1.27,1.33,2.73,1.70,2.16,1.46,1.72,26.09
1966,2.63,4.96,0.94,2.69,4.26,1.17,1.25,1.89,8.82,4.64,3.47,3.18,39.90
1967,1.39,2.68,5.97,3.45,4.08,4.64,6.99,5.94,1.84,3.47,2.59,6.08,49.12
1968,2.04,1.13,4.79,2.82,7.06,6.15,2.63,2.88,1.97,2.20,5.75,4.15,43.57
1969,1.10,3.05,3.73,3.99,2.67,3.16,7.37,2.53,8.32,1.97,3.58,7.07,48.54
1970,0.66,4.52,4.18,3.48,3.34,2.27,2.19,2.47,1.74,2.48,5.14,2.82,35.29
1971,2.67,5.33,3.80,2.95,4.24,2.31,7.20,9.37,7.36,4.14,5.64,1.76,56.77
1972,2.41,5.90,4.55,3.92,8.39,9.30,4.54,1.92,1.33,6.27,12.41,6.09,67.03
1973,4.53,4.55,3.60,8.05,4.51,4.55,5.89,3.08,2.75,3.92,1.82,9.98,57.23
1974,3.80,1.49,5.76,3.83,4.29,3.29,1.33,5.99,8.05,2.59,0.94,6.33,47.69
1975,4.76,3.33,3.32,3.04,3.38,7.58,11.77,3.05,9.32,3.70,4.33,3.63,61.21
1976,5.78,3.13,2.99,2.80,4.77,2.78,1.42,6.52,3.15,5.31,0.34,2.29,41.28
1977,2.25,2.51,7.41,3.75,1.71,3.83,1.60,4.57,4.75,5.03,12.26,5.06,54.73
1978,8.27,1.59,2.73,2.38,9.15,1.69,4.48,5.50,4.06,1.50,2.85,5.61,49.81
1979,10.52,4.58,4.40,4.04,6.23,1.56,1.76,4.27,4.83,3.87,3.38,2.69,52.13
1980,1.72,1.04,10.41,8.26,2.33,3.84,5.26,1.16,1.98,3.86,4.11,0.58,44.55
1981,0.58,6.04,1.19,3.42,3.56,2.71,6.21,0.59,3.45,3.49,1.69,5.18,38.11
1982,6.46,2.37,2.56,5.67,2.43,5.12,3.14,4.66,1.77,2.31,3.44,1.47,41.40
1983,5.01,3.22,10.54,14.01,4.60,2.82,3.40,7.26,4.62,8.63,6.68,9.77,80.56
1984,1.87,4.86,6.30,6.62,9.74,5.76,7.03,1.38,2.51,3.63,4.07,3.26,57.03
1985,1.00,2.41,1.91,1.41,5.72,4.41,4.41,2.58,4.75,1.30,8.09,0.83,38.82
1986,4.23,2.86,1.46,3.93,1.68,1.86,5.56,4.24,2.20,1.92,6.85,6.16,42.95
1987,5.81,1.01,4.93,5.90,1.45,3.94,4.12,4.89,5.25,3.89,3.03,2.17,46.39
1988,3.64,3.91,5.27,2.20,2.10,1.29,8.14,2.19,2.34,3.56,8.90,1.13,44.67
1989,2.29,3.03,4.93,4.26,10.24,8.79,5.13,8.44,6.90,7.48,2.79,0.83,65.11
1990,5.34,2.33,3.64,5.12,9.10,2.50,3.51,12.36,2.24,6.38,2.82,5.58,60.92
1991,3.38,1.93,5.16,3.68,3.11,4.16,4.57,7.13,3.71,2.13,1.96,4.26,45.18
1992,1.68,1.87,4.08,1.76,4.02,4.77,4.49,3.49,4.89,1.16,5.64,5.50,43.35
1993,3.44,2.81,6.64,4.28,1.56,1.49,1.70,5.41,5.25,4.55,2.20,4.95,44.28
1994,5.62,3.44,6.33,2.42,4.26,3.21,3.86,6.33,3.33,1.35,4.34,2.90,47.39
1995,3.75,3.13,1.26,2.29,2.84,2.09,6.13,0.18,3.03,7.82,5.78,2.12,40.42
1996,5.64,2.59,3.81,6.33,2.64,5.76,5.70,1.87,4.97,7.53,2.87,6.48,56.19
1997,3.65,2.54,5.18,2.86,3.05,1.93,8.36,3.21,2.10,2.10,4.68,4.27,43.93
1998,5.20,5.81,5.08,7.05,6.94,5.94,1.09,2.78,3.44,2.76,1.48,1.12,48.69
1999,6.99,3.49,4.01,1.93,4.04,0.59,0.44,3.94,8.81,2.73,2.33,3.20,42.50
2000,3.24,1.66,3.31,3.53,4.50,4.86,7.28,3.82,5.82,0.68,3.53,3.19,45.42
2001,3.16,1.95,7.72,1.58,2.02,5.29,2.04,2.56,5.31,0.66,1.36,2.27,35.92
2002,1.93,0.71,3.53,3.41,3.69,4.50,1.05,4.91,5.16,7.20,5.06,4.06,45.21
2003,2.30,4.56,4.57,3.20,3.43,10.26,3.76,5.85,6.03,4.90,4.27,5.42,58.56
2004,2.13,2.68,2.99,4.11,5.77,3.02,7.64,3.03,11.51,1.18,4.21,3.71,51.97
2005,4.67,3.04,4.96,4.81,1.48,3.21,3.56,3.96,0.48,16.73,4.47,4.60,55.97
2006,4.99,2.88,0.80,5.56,4.62,8.55,6.16,6.08,3.69,7.07,7.34,2.15,59.89
2007,3.63,1.99,5.35,13.05,1.88,6.55,6.89,7.18,1.81,4.65,3.47,5.22,61.67
2008,2.85,5.95,4.08,2.77,4.01,4.70,2.84,5.58,7.05,3.62,3.54,6.62,53.61
2009,2.98,0.93,1.75,4.69,5.17,10.05,7.11,4.22,2.26,5.58,1.61,7.27,53.62
2010,2.08,6.69,10.69,2.99,3.01,2.20,2.60,4.14,3.67,4.91,2.15,4.24,49.37
2011,4.93,3.47,6.19,5.35,5.11,3.25,3.03,18.95,9.39,6.09,3.05,4.00,72.81
2012,3.23,1.37,0.96,3.56,5.38,2.97,4.21,2.91,4.39,2.92,1.81,4.80,38.51
2013,2.76,4.25,2.90,1.31,8.00,10.10,2.84,2.85,2.95,0.36,3.15,4.85,46.32
2014,2.79,5.48,3.67,7.85,4.37,4.26,5.59,2.25,1.21,5.77,4.51,6.04,53.79
2015,5.23,2.04,4.72,2.08,1.86,4.79,3.98,2.35,3.28,3.91,2.01,4.72,40.97
2016,4.41,4.40,1.17,1.61,3.75,2.60,7.02,1.97,2.79,4.15,5.41,2.89,42.17
2017,4.83,2.48,5.25,3.84,6.38,4.76,4.19,3.34,2.00,4.18,1.58,2.21,45.04
2018,2.18,5.83,5.17,5.78,3.53,3.11,7.45,8.59,6.19,3.59,7.62,6.51,65.55
2019,3.58,3.14,3.87,4.55,6.82,5.46,5.77,3.70,0.95,6.15,1.95,7.09,53.03
2020,1.93,2.54,3.78,4.49,1.65,1.76,6.58,5.03,3.94,5.05,3.99,4.61,45.35
2021,2.31,5.13,3.41,2.69,4.36,2.62,11.09,10.32,10.03,5.26,1.12,1.39,59.73
2022,4.29,3.23,2.39,4.53,4.52,2.92,4.55,1.71,4.10,5.08,3.15,5.83,46.30
2023,4.38,1.28,3.32,7.70,1.28,1.62,5.34,6.56,14.25,3.90,2.95,6.71,59.29
2024,5.28,2.05,9.06,3.47,4.11,1.71,4.20,7.02,1.58,0.01,3.35,4.53,46.37